user_id,joke_id,rating
1,1,-7.82
1,2,8.79
1,3,-9.66
1,4,-8.16
1,5,-7.52
1,6,-8.5
1,7,-9.85
1,8,4.17
1,9,-8.98
1,10,-4.76
1,11,-8.5
1,12,-6.75
1,13,-7.18
1,14,8.45
1,15,-7.18
1,16,-7.52
1,17,-7.43
1,18,-9.81
1,19,-9.85
1,20,-9.85
1,21,-9.37
1,22,1.5
1,23,-4.37
1,24,-9.81
1,25,-8.5
1,26,1.12
1,27,7.82
1,28,2.86
1,29,9.13
1,30,-7.43
1,31,2.14
1,32,-4.08
1,33,-9.08
1,34,7.82
1,35,5.05
1,36,4.95
1,37,-9.17
1,38,-8.4
1,39,-8.4
1,40,-8.4
1,41,-8.11
1,42,-9.13
1,43,-9.03
1,44,-9.08
1,45,-7.14
1,46,-6.26
1,47,3.79
1,48,-0.1
1,49,3.93
1,50,4.13
1,51,-8.69
1,52,-7.14
1,53,3.2
1,54,8.3
1,55,-4.56
1,56,0.92
1,57,-9.13
1,58,-9.42
1,59,2.82
1,60,-8.64
1,61,8.59
1,62,3.59
1,63,-6.84
1,64,-9.03
1,65,2.82
1,66,-1.36
1,67,-9.08
1,68,8.3
1,69,5.68
1,70,-4.81
1,78,-9.42
1,82,-7.72
1,91,2.82
1,97,-5.63
2,1,4.08
2,2,-0.29
2,3,6.36
2,4,4.37
2,5,-2.38
2,6,-9.66
2,7,-0.73
2,8,-5.34
2,9,8.88
2,10,9.22
2,11,6.75
2,12,8.64
2,13,4.42
2,14,7.43
2,15,4.56
2,16,-0.97
2,17,4.66
2,18,-0.68
2,19,3.3
2,20,-1.21
2,21,0.87
2,22,8.64
2,23,8.35
2,24,9.17
2,25,0.05
2,26,7.57
2,27,4.71
2,28,0.87
2,29,-0.39
2,30,6.99
2,31,6.5
2,32,-0.92
2,33,7.14
2,34,9.03
2,35,-1.8
2,36,0.73
2,37,7.09
2,38,3.4
2,39,-0.87
2,40,7.91
2,41,7.82
2,42,-3.83
2,43,8.64
2,44,8.98
2,45,-4.32
2,46,-3.2
2,47,-4.9
2,48,-0.92
2,49,-1.46
2,50,3.64
2,51,3.16
2,52,9.03
2,53,0.97
2,54,-1.31
2,55,-6.5
2,56,-3.2
2,57,8.64
2,58,-2.14
2,59,0.1
2,60,9.03
2,61,-6.7
2,62,-3.35
2,63,-9.03
2,64,4.47
2,65,4.08
2,66,-3.83
2,67,8.74
2,68,1.12
2,69,0.78
2,70,7.52
2,71,-5
2,72,2.77
2,73,8.3
2,74,7.77
2,75,7.33
2,76,6.21
2,77,7.72
2,78,8.98
2,79,8.64
2,80,8.2
2,81,3.93
2,82,4.85
2,83,4.85
2,84,6.07
2,85,8.98
2,86,4.51
2,87,-0.05
2,88,3.69
2,89,4.56
2,90,0.58
2,91,2.82
2,92,-4.95
2,93,-0.29
2,94,7.86
2,95,-0.19
2,96,-2.14
2,97,3.06
2,98,0.34
2,99,-4.32
2,100,1.07
3,5,9.03
3,6,9.27
3,7,9.03
3,8,9.27
3,11,7.33
3,12,7.57
3,13,9.37
